row_id,x,y,accuracy,time,place_id
1,4.123456,1.789012,50,234400,10028124
2,9.987654,6.543210,74,154401,10012453
3,9.876543,6.654321,54,823402,10014233
4,9.765432,6.432109,88,234403,10424202
5,4.098765,6.890123,79,154404,10012453
6,9.987654,6.765432,90,159825,24221003
7,4.123456,6.543210,54,134406,42221002
8,9.876543,6.654321,54,234407,10012453
9,8.987654,6.432109,82,823448,87001003
10,7.098765,6.890123,91,823409,87081002
11,4.865432,1.654321,62,984410,10012453
12,5.098765,1.890123,90,153441,54201003
13,6.987654,6.543210,15,154412,10012453
14,6.876543,6.654321,72,234413,45450100
15,5.765432,1.432109,87,154414,22201003
16,5.123456,1.789012,10,134415,10012453
17,4.987654,6.543210,55,134416,42221002
18,4.876543,6.654321,92,982347,10012453
19,7.987654,6.432109,86,134418,16500002
20,5.098765,5.890123,59,159829,16500002
21,8.865432,7.654321,82,154420,10012453
22,9.098765,7.890123,68,834421,22201003
23,3.987654,6.543210,45,234422,12222222
24,3.876543,6.654321,92,234423,22201003
25,3.765432,7.432109,81,134424,45541002
26,9.123456,8.789012,50,823445,54221001
27,6.987654,1.543210,55,234426,54231001
28,8.876543,2.654321,62,823427,78551002
29,1.987654,3.432109,69,823428,10012453
30,4.098765,3.890123,79,834429,78551002
31,8.865432,5.654321,92,824430,97851003
32,8.098765,5.890123,99,982431,45581001
33,5.987654,8.543210,85,192442,45581001
34,5.876543,9.654321,87,192443,89451002
35,5.765432,5.432109,58,154434,97851003
36,6.123456,5.789012,68,823435,87001003
37,5.987654,5.543210,54,840436,97851003
38,2.876543,5.654321,38,184437,10468501
39,4.987654,5.432109,98,152338,78551002
40,8.098765,4.890123,59,984439,10456502
41,6.865432,6.654321,54,182440,10894801
42,4.098765,5.890123,69,182441,97851003
43,8.987654,9.543210,87,123442,89481002
44,5.876543,9.654321,68,123444,18508502
45,3.765432,8.432109,58,134444,45450100
46,2.123456,7.789012,80,123445,97851003
47,4.987654,7.543210,83,823446,18508502
48,6.876543,5.654321,48,824447,87081002
49,3.987654,4.432109,68,934448,18508502
50,2.098765,1.890123,69,326399,11111111
